speaker,trial,target_colour_textgrid,target_name_textgrid,colour_start,colour_end,colour_dur,item_start,item_end,item_dur,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
AL,4,orangen,kartoffeln,15.3104,15.7604,0.45000000000000107,15.7604,16.2504,0.48999999999999844,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Avokado,gelb,Zucchini,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
AL,6,braunen,walnuss,23.0002,23.3102,0.3099999999999987,23.3102,23.7502,0.4400000000000013,NF,typical,Walnuss,braun,Waescheklammer,braun,Zucchini,gruen,Avokado,gelb,walnut,brown,97.45544554455444,11.250355329922026,100
AL,10,orangen,mandarine,39.0026,39.2726,0.269999999999996,39.2726,39.8826,0.6099999999999994,NF,typical,Mandarine,orange,Socken,orange,Sonnenbrille,braun,Aubergine,gelb,mandarine,orange,98.70297029702972,4.731901424280615,100
AL,13,braunen,paprika,49.6811,49.9511,0.269999999999996,49.9511,50.3911,0.44000000000000483,NF,atypical,Paprika,braun,Sonnenbrille,braun,Bueroklammer,gelb,Socken,rot,pepper,brown,7.772277227722772,16.440730633471745,0
AL,17,roten,aprikose,65.1621,65.4921,0.3299999999999983,65.4921,66.0621,0.5700000000000074,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
AL,19,gruenen,moehre,72.9333,73.2133,0.28000000000000114,73.2133,73.5533,0.3399999999999892,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
AL,24,gelben,kirsche,91.6787,91.9187,0.23999999999999488,91.9187,92.3687,0.45000000000000284,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Socken,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
AL,25,roten,erdbeere,95.2012,95.4712,0.269999999999996,95.4712,95.9112,0.4399999999999977,NF,typical,Erdbeere,rot,Waescheklammer,rot,Socken,gelb,Aubergine,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
AL,29,braunen,banane,111.5387,111.8587,0.3199999999999932,111.8587,112.2887,0.4300000000000068,NF,medium,Banane,braun,Bueroklammer,braun,Socken,rot,Avokado,rot,banana,brown,27.643564356435643,28.333225781197537,22
AL,31,orangen,trauben,118.7012,119.0712,0.37000000000000455,119.0712,119.4112,0.3399999999999892,NF,atypical,Trauben,orange,Bueroklammer,orange,Zucchini,rot,Birne,rot,grapes,orange,5.871287128712871,14.374048397258605,0
AL,33,gruenen,bohnen,126.259,126.529,0.269999999999996,126.529,126.819,0.29000000000000625,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Bueroklammer,orange,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
AL,35,roten,gurke,134.9383,135.2283,0.28999999999999204,135.2283,135.5583,0.3300000000000125,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,braun,Socken,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
